year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,4,2013-09-21 20:00:00+00:00,Baylor,Big 12,70,UL Monroe,Sun Belt,7,ranked_matchup,20.0,,FS1
2013,4,2013-09-21 22:00:00+00:00,Florida State,ACC,54,Bethune-Cookman,MEAC,6,ranked_matchup,8.0,,ESPN3
2013,4,2013-09-21 23:00:00+00:00,Texas A&M,SEC,42,SMU,American Athletic,13,ranked_matchup,10.0,,ESPNU
2013,4,2013-09-21 23:00:00+00:00,Stanford,Pac-12,42,Arizona State,Pac-12,28,ranked_matchup,5.0,23.0,FOX
2013,4,2013-09-21 23:00:00+00:00,Alabama,SEC,31,Colorado State,Mountain West,6,ranked_matchup,1.0,,ESPN2
2013,4,2013-09-21 23:00:00+00:00,Texas Tech,Big 12,33,Texas State,Sun Belt,7,ranked_matchup,25.0,,
2013,4,2013-09-21 23:00:00+00:00,Miami,ACC,77,Savannah St,MEAC,7,ranked_matchup,16.0,,ESPN3
2013,4,2013-09-21 23:45:00+00:00,LSU,SEC,35,Auburn,SEC,21,ranked_matchup,6.0,,ESPNM
2013,4,2013-09-22 00:00:00+00:00,UConn,American Athletic,21,Michigan,Big Ten,24,ranked_matchup,,15.0,ESGP
2013,4,2013-09-22 02:30:00+00:00,UCLA,Pac-12,59,New Mexico State,FBS Independents,13,ranked_matchup,13.0,,PAC12
2013,5,2013-09-28 16:00:00+00:00,South Florida,American Athletic,21,Miami,ACC,49,ranked_matchup,,15.0,ESPNU
2013,5,2013-09-28 16:00:00+00:00,UCF,American Athletic,25,South Carolina,SEC,28,ranked_matchup,,12.0,ABC
2013,5,2013-09-28 16:00:00+00:00,West Virginia,Big 12,30,Oklahoma State,Big 12,21,ranked_matchup,,11.0,ESPNM
2013,5,2013-09-28 19:30:00+00:00,Notre Dame,FBS Independents,21,Oklahoma,Big 12,35,ranked_matchup,22.0,14.0,NBC
2013,5,2013-09-28 19:30:00+00:00,Clemson,ACC,56,Wake Forest,ACC,7,ranked_matchup,3.0,,ESPNU
2013,5,2013-09-28 19:30:00+00:00,Georgia,SEC,44,LSU,SEC,41,"ranked_matchup,upset_victory",9.0,6.0,CBS
2013,5,2013-09-28 19:30:00+00:00,Boston College,ACC,34,Florida State,ACC,48,ranked_matchup,,8.0,ESPNM
2013,5,2013-09-28 22:30:00+00:00,Alabama,SEC,25,Ole Miss,SEC,0,ranked_matchup,1.0,21.0,ESPNM
2013,5,2013-09-28 23:00:00+00:00,Washington,Pac-12,31,Arizona,Pac-12,13,ranked_matchup,16.0,,FOX
2013,5,2013-09-28 23:00:00+00:00,Kentucky,SEC,7,Florida,SEC,24,ranked_matchup,,20.0,ESPNU
2013,5,2013-09-28 23:00:00+00:00,Arkansas,SEC,33,Texas A&M,SEC,45,ranked_matchup,,10.0,ESPN2
