year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2001,Baylor,Big 12,South,11,3,8,8,0,8,7,3,4,4,0,4,
2001,Rice,Western Athletic,,12,8,4,8,5,3,5,5,0,7,3,4,
2001,Texas A&M,Big 12,South,12,8,4,8,4,4,7,6,1,5,2,3,
2001,Houston,Conference USA,,11,0,11,7,0,7,6,0,6,5,0,5,
2001,North Texas,Sun Belt,,12,5,7,6,5,1,5,3,2,7,2,5,
2001,Texas,Big 12,South,13,11,2,9,7,2,8,6,2,5,5,0,
2001,BYU,Mountain West,,14,12,2,10,9,1,7,6,1,7,6,1,
2001,Utah,Mountain West,,12,8,4,10,6,4,6,6,0,6,2,4,
2001,Virginia,ACC,,12,5,7,11,5,6,7,4,3,5,1,4,
2001,Virginia Tech,Big East,,12,8,4,7,4,3,7,4,3,5,4,1,
2001,Washington,Pac-10,,12,8,4,9,7,2,6,6,0,6,2,4,
2001,Washington State,Pac-10,,12,10,2,9,7,2,7,6,1,5,4,1,
2001,Wisconsin,Big Ten,,12,5,7,10,4,6,7,3,4,5,2,3,
2001,Marshall,Mid-American,East,13,11,2,9,8,1,7,7,0,6,4,2,
2001,West Virginia,Big East,,11,3,8,7,1,6,6,3,3,5,0,5,
2001,Fresno State,Western Athletic,,14,11,3,8,6,2,7,5,2,7,6,1,
2001,Louisiana,Sun Belt,East,11,3,8,6,2,4,5,2,3,6,1,5,
2001,Utah State,FBS Independents,,11,4,7,0,0,0,5,3,2,6,1,5,
2001,Alabama,SEC,West,12,7,5,8,4,4,7,4,3,5,3,2,
2001,Mississippi State,SEC,West,11,3,8,8,2,6,7,3,4,4,0,4,
2001,Army,Conference USA,,11,3,8,8,2,6,5,2,3,6,1,5,
2001,Illinois,Big Ten,,12,10,2,10,9,1,7,6,1,5,4,1,
2001,Air Force,Mountain West,,12,6,6,8,4,4,6,4,2,6,2,4,
2001,Akron,Mid-American,East,11,4,7,8,4,4,4,3,1,7,1,6,
2001,Arkansas State,Sun Belt,East,11,2,9,6,2,4,6,2,4,5,0,5,
