year,week,team,conference,elo
2000,7,TCU,Western Athletic,1783
2000,7,Temple,Big East,1355
2000,7,Tennessee,SEC,1869
2000,7,Texas,Big 12,1760
2000,7,Texas A&M,Big 12,1750
2000,7,Texas Tech,Big 12,1566
2000,7,Toledo,Mid-American,1679
2000,7,Tulane,Conference USA,1310
2000,7,Tulsa,Western Athletic,1231
2000,7,UAB,Conference USA,1447
2000,7,UCF,FBS Independents,1409
2000,7,UCLA,Pac-10,1500
2000,7,UConn,FBS Independents,1269
2000,7,UL Monroe,FBS Independents,938
2000,7,UNLV,Mountain West,1463
2000,7,USC,Pac-10,1643
2000,7,Utah,Mountain West,1570
2000,7,Utah State,Big West,1216
2000,7,UTEP,Western Athletic,1468
2000,7,Vanderbilt,SEC,1368
2000,7,Virginia,ACC,1522
2000,7,Virginia Tech,Big East,2001
2000,7,Wake Forest,ACC,1341
2000,7,Washington,Pac-10,1658
2000,7,Washington State,Pac-10,1483
2000,7,Western Michigan,Mid-American,1609
2000,7,West Virginia,Big East,1554
2000,7,Wisconsin,Big Ten,1776
2000,7,Wyoming,Mountain West,1159
2000,8,Air Force,Mountain West,1546
2000,8,Akron,Mid-American,1412
2000,8,Alabama,SEC,1762
2000,8,Arizona,Pac-10,1698
2000,8,Arizona State,Pac-10,1577
2000,8,Arkansas,SEC,1607
2000,8,Arkansas State,Big West,1066
2000,8,Army,Conference USA,1214
2000,8,Auburn,SEC,1657
2000,8,Ball State,Mid-American,1115
2000,8,Baylor,Big 12,1202
2000,8,Boise State,Big West,1609
2000,8,Boston College,Big East,1766
2000,8,Bowling Green,Mid-American,1262
2000,8,Buffalo,Mid-American,871
2000,8,BYU,Mountain West,1508
2000,8,California,Pac-10,1434
2000,8,Central Michigan,Mid-American,1066
2000,8,Cincinnati,Conference USA,1371
2000,8,Clemson,ACC,1870
2000,8,Colorado,Big 12,1660
2000,8,Colorado State,Mountain West,1636
2000,8,Duke,ACC,1107
2000,8,East Carolina,Conference USA,1672
2000,8,Eastern Michigan,Mid-American,1114
2000,8,Florida,SEC,1945
2000,8,Florida State,ACC,2167
2000,8,Fresno State,Western Athletic,1590
2000,8,Georgia,SEC,1787
2000,8,Georgia Tech,ACC,1754
2000,8,Hawai'i,Western Athletic,1300
2000,8,Houston,Conference USA,1316
2000,8,Idaho,Big West,1332
2000,8,Illinois,Big Ten,1712
2000,8,Indiana,Big Ten,1344
2000,8,Iowa,Big Ten,1295
2000,8,Iowa State,Big 12,1500
2000,8,Kansas,Big 12,1417
2000,8,Kansas State,Big 12,2120
2000,8,Kent State,Mid-American,1040
2000,8,Kentucky,SEC,1396
2000,8,Louisiana,FBS Independents,900
2000,8,Louisiana Tech,FBS Independents,1248
2000,8,Louisville,Conference USA,1612
2000,8,LSU,SEC,1600
2000,8,Marshall,Mid-American,1555
2000,8,Maryland,ACC,1392
2000,8,Memphis,Conference USA,1518
2000,8,Miami,Big East,1972
2000,8,Miami (OH),Mid-American,1497
2000,8,Michigan,Big Ten,1970
2000,8,Michigan State,Big Ten,1623
2000,8,Middle Tennessee,FBS Independents,1229
2000,8,Minnesota,Big Ten,1822
2000,8,Mississippi State,SEC,1734
2000,8,Missouri,Big 12,1275
